compound,const,workerID,judgement
child protection,child,1073,5
child protection,child,1040,5
child protection,child,1069,5
child protection,child,1061,5
child protection,child,1017,4
child protection,child,1092,5
child protection,child,1075,5
child protection,child,1013,5
child protection,child,1062,5
child protection,child,1009,0
child protection,child,1045,5
child protection,child,1021,5
child protection,child,1094,5
data quality,data,1073,5
data quality,quality,1013,2
data quality,data,1021,4
data quality,quality,1025,5
data quality,quality,1017,4
data quality,data,1061,5
data quality,data,1035,5
data quality,data,1025,4
data quality,data,1069,5
data quality,quality,1040,5
data quality,data,1040,5
data quality,quality,1045,5
data quality,data,1013,4
data quality,quality,1035,4
data quality,quality,1009,2
data quality,quality,1075,5
data quality,quality,1092,1
data quality,quality,1073,5
data quality,data,1009,2
data quality,data,1062,5
data quality,quality,1069,3
data quality,data,1094,5
data quality,quality,1021,4
data quality,data,1045,5
data quality,data,1017,4
data quality,quality,1062,5
data quality,quality,1061,5
data quality,data,1075,5
data quality,data,1092,1
data quality,quality,1094,5
drama queen,queen,1073,0
drama queen,drama,1025,5
drama queen,queen,1075,0
drama queen,drama,1021,1
drama queen,queen,1021,1
drama queen,queen,1013,0
drama queen,queen,1062,1
drama queen,drama,1009,0
drama queen,drama,1045,5
drama queen,queen,1040,0
drama queen,drama,1069,3
drama queen,queen,1017,1
drama queen,drama,1061,4
drama queen,drama,1017,2
drama queen,drama,1062,3
drama queen,queen,1025,1
drama queen,drama,1073,5
drama queen,queen,1069,4
drama queen,queen,1094,5
drama queen,drama,1040,5
drama queen,drama,1092,3
drama queen,drama,1075,4
drama queen,drama,1035,2
drama queen,drama,1094,5
drama queen,drama,1013,3
drama queen,queen,1035,0
drama queen,queen,1045,0
drama queen,queen,1061,0
drama queen,queen,1092,3
drama queen,queen,1009,2
ear protection,protection,1061,5
ear protection,protection,1035,1
ear protection,protection,1025,5
ear protection,protection,1092,4
ear protection,protection,1062,5
ear protection,protection,1017,4
ear protection,protection,1075,5
ear protection,protection,1040,5
ear protection,protection,1069,4
ear protection,protection,1013,0
ear protection,protection,1094,5
ear protection,protection,1045,5
ear protection,protection,1073,5
ear protection,protection,1021,1
ear protection,ear,1045,5
ear protection,ear,1061,5
ear protection,ear,1021,4
ear protection,ear,1025,4
ear protection,ear,1094,5
ear protection,ear,1040,5
ear protection,ear,1009,0
ear protection,ear,1017,4
ear protection,ear,1075,5
ear protection,protection,1009,5
ear protection,ear,1013,5
ear protection,ear,1062,5
ear protection,ear,1073,5
ear protection,ear,1069,5
ear protection,ear,1035,5
ear protection,ear,1092,4
emergency service,emergency,1009,4
emergency service,emergency,1013,5
emergency service,service,1025,5
emergency service,service,1009,2
emergency service,service,1013,0
emergency service,emergency,1040,4
emergency service,emergency,1069,5
emergency service,service,1092,4
emergency service,emergency,1021,4
emergency service,emergency,1062,5
emergency service,emergency,1075,4
emergency service,emergency,1025,5
emergency service,service,1021,0
emergency service,service,1045,5
emergency service,service,1062,5
emergency service,service,1094,5
emergency service,service,1040,5
emergency service,service,1075,5
emergency service,service,1069,5
emergency service,service,1061,4
emergency service,service,1073,5
emergency service,service,1035,4
emergency service,emergency,1073,5
emergency service,emergency,1017,4
emergency service,emergency,1094,5
emergency service,emergency,1092,4
emergency service,service,1017,1
emergency service,emergency,1045,5
emergency service,emergency,1061,5
emergency service,emergency,1035,5
family romance,romance,1025,3
family romance,romance,1069,1
family romance,romance,1062,5
family romance,romance,1009,4
family romance,romance,1094,5
family romance,romance,1073,5
family romance,romance,1092,2
family romance,romance,1075,4
family romance,romance,1040,4
family romance,family,1092,2
family romance,family,1075,4
family romance,family,1009,1
family romance,family,1073,5
family romance,romance,1017,4
family romance,family,1035,3
family romance,family,1017,3
family romance,family,1061,0
family romance,family,1040,3
family romance,family,1094,5
family romance,family,1045,5
family romance,family,1025,1
family romance,family,1062,5
family romance,romance,1013,2
family romance,romance,1045,5
family romance,romance,1021,4
family romance,family,1013,5
family romance,romance,1061,0
family romance,romance,1035,1
family romance,family,1069,3
family romance,family,1021,0
fantasy romance,romance,1073,5
fantasy romance,romance,1069,1
fantasy romance,romance,1025,2
fantasy romance,romance,1035,0
fantasy romance,romance,1061,4
fantasy romance,romance,1062,5
fantasy romance,romance,1092,2
fantasy romance,romance,1017,3
fantasy romance,romance,1040,5
fantasy romance,romance,1075,4
fantasy romance,romance,1021,4
fantasy romance,romance,1045,5
fantasy romance,romance,1094,5
fantasy romance,romance,1009,4
fantasy romance,romance,1013,2
fantasy romance,fantasy,1017,1
fantasy romance,fantasy,1045,5
fantasy romance,fantasy,1021,4
fantasy romance,fantasy,1094,5
fantasy romance,fantasy,1073,5
fantasy romance,fantasy,1040,5
fantasy romance,fantasy,1025,4
fantasy romance,fantasy,1069,3
fantasy romance,fantasy,1062,5
fantasy romance,fantasy,1035,3
fantasy romance,fantasy,1009,1
fantasy romance,fantasy,1013,2
fantasy romance,fantasy,1075,4
fantasy romance,fantasy,1061,4
fantasy romance,fantasy,1092,2
food quality,food,1035,4
food quality,quality,1075,5
food quality,quality,1017,4
food quality,quality,1045,5
food quality,food,1092,3
food quality,food,1069,4
food quality,quality,1069,5
food quality,quality,1009,1
food quality,quality,1013,1
food quality,quality,1073,5
food quality,quality,1092,3
food quality,food,1061,5
food quality,quality,1035,4
food quality,food,1094,5
food quality,quality,1025,5
food quality,quality,1040,5
food quality,quality,1094,5
food quality,quality,1021,4
food quality,quality,1062,5
food quality,food,1062,5
food quality,food,1021,4
food quality,quality,1061,5
food quality,food,1013,5
food quality,food,1017,5
food quality,food,1025,5
food quality,food,1045,5
food quality,food,1009,4
food quality,food,1075,5
food quality,food,1040,5
food quality,food,1073,5
food service,food,1040,5
food service,food,1035,5
food service,food,1013,5
food service,food,1017,4
food service,food,1073,5
food service,service,1017,3
food service,service,1025,4
food service,service,1009,3
food service,service,1073,5
food service,service,1092,3
food service,food,1094,5
food service,service,1035,4
food service,food,1092,3
food service,food,1025,5
food service,service,1069,5
food service,food,1069,4
food service,food,1062,5
food service,food,1045,5
food service,service,1061,5
food service,service,1045,5
food service,service,1075,5
food service,food,1061,5
food service,service,1040,5
food service,service,1013,2
food service,food,1009,3
food service,service,1021,1
food service,food,1075,5
food service,service,1062,5
food service,food,1021,4
food service,service,1094,5
fraud scheme,fraud,1062,5
fraud scheme,fraud,1013,4
fraud scheme,fraud,1075,3
fraud scheme,fraud,1025,5
fraud scheme,fraud,1045,5
fraud scheme,scheme,1061,4
fraud scheme,fraud,1021,4
fraud scheme,scheme,1040,4
fraud scheme,scheme,1062,5
fraud scheme,scheme,1045,5
fraud scheme,scheme,1013,3
fraud scheme,fraud,1094,5
fraud scheme,scheme,1025,5
fraud scheme,scheme,1021,1
fraud scheme,fraud,1009,3
fraud scheme,fraud,1061,4
fraud scheme,fraud,1040,5
fraud scheme,scheme,1009,2
fraud scheme,scheme,1092,5
fraud scheme,scheme,1035,3
fraud scheme,scheme,1075,4
fraud scheme,scheme,1073,5
fraud scheme,scheme,1094,5
fraud scheme,scheme,1069,3
fraud scheme,scheme,1017,3
fraud scheme,fraud,1073,5
fraud scheme,fraud,1069,5
fraud scheme,fraud,1092,5
fraud scheme,fraud,1035,4
fraud scheme,fraud,1017,4
health protection,protection,1021,1
health protection,protection,1009,5
health protection,health,1073,5
health protection,protection,1092,3
health protection,health,1035,5
health protection,protection,1094,5
health protection,health,1075,5
health protection,health,1025,5
health protection,health,1062,5
health protection,health,1092,2
health protection,protection,1013,1
health protection,protection,1073,5
health protection,protection,1069,5
health protection,protection,1045,4
health protection,health,1013,4
health protection,health,1045,5
health protection,health,1009,0
health protection,health,1017,4
health protection,health,1040,5
health protection,protection,1035,3
health protection,health,1021,4
health protection,protection,1017,4
health protection,protection,1061,3
health protection,health,1069,4
health protection,health,1061,3
health protection,protection,1075,5
health protection,health,1094,5
health protection,protection,1040,4
health protection,protection,1062,5
health protection,protection,1025,4
health service,health,1094,4
health service,health,1035,5
health service,service,1040,5
health service,service,1017,3
health service,service,1075,5
health service,service,1035,5
health service,service,1021,1
health service,service,1073,5
health service,health,1009,3
health service,health,1021,4
health service,service,1013,1
health service,health,1025,5
health service,health,1073,5
health service,health,1040,5
health service,health,1075,5
health service,health,1092,4
health service,health,1069,4
health service,service,1025,5
health service,service,1094,5
health service,service,1069,5
health service,service,1045,5
health service,service,1062,5
health service,health,1045,5
health service,service,1061,5
health service,health,1061,5
health service,health,1013,4
health service,health,1062,5
health service,health,1017,4
health service,service,1092,4
health service,service,1009,3
ice queen,ice,1017,1
ice queen,ice,1045,5
ice queen,ice,1075,3
ice queen,ice,1009,0
ice queen,ice,1013,4
ice queen,queen,1013,1
ice queen,queen,1075,1
ice queen,ice,1094,4
ice queen,ice,1025,0
ice queen,queen,1035,0
ice queen,queen,1040,3
ice queen,queen,1017,1
ice queen,queen,1094,5
ice queen,ice,1035,2
ice queen,queen,1045,0
ice queen,queen,1025,2
ice queen,queen,1009,3
ice queen,queen,1061,0
ice queen,queen,1073,0
ice queen,queen,1069,5
ice queen,queen,1092,1
ice queen,ice,1061,0
ice queen,queen,1062,2
ice queen,queen,1021,1
ice queen,ice,1092,1
ice queen,ice,1062,3
ice queen,ice,1021,1
ice queen,ice,1073,0
ice queen,ice,1069,1
ice queen,ice,1040,3
image quality,image,1013,4
image quality,image,1061,5
image quality,image,1035,5
image quality,image,1025,4
image quality,image,1062,5
image quality,image,1069,4
image quality,image,1094,5
image quality,image,1040,5
image quality,image,1073,5
image quality,image,1009,2
image quality,image,1092,4
image quality,quality,1021,4
image quality,image,1075,5
image quality,quality,1040,5
image quality,quality,1025,4
image quality,quality,1009,2
image quality,quality,1061,5
image quality,quality,1062,5
image quality,quality,1075,4
image quality,quality,1094,5
image quality,quality,1092,4
image quality,quality,1073,5
image quality,image,1021,4
image quality,quality,1035,5
image quality,quality,1017,4
image quality,quality,1045,5
image quality,quality,1069,2
image quality,image,1045,5
image quality,image,1017,5
image quality,quality,1013,1
incentive scheme,scheme,1045,5
incentive scheme,incentive,1013,4
incentive scheme,incentive,1061,4
incentive scheme,incentive,1021,4
incentive scheme,incentive,1073,5
incentive scheme,scheme,1092,4
incentive scheme,incentive,1009,3
incentive scheme,scheme,1062,5
incentive scheme,scheme,1021,0
incentive scheme,incentive,1040,4
incentive scheme,incentive,1035,5
incentive scheme,incentive,1075,3
incentive scheme,scheme,1025,4
incentive scheme,scheme,1035,2
incentive scheme,scheme,1013,1
incentive scheme,incentive,1092,4
incentive scheme,incentive,1062,5
incentive scheme,incentive,1045,5
incentive scheme,incentive,1069,4
incentive scheme,incentive,1025,3
incentive scheme,scheme,1040,4
incentive scheme,scheme,1009,1
incentive scheme,scheme,1075,4
incentive scheme,scheme,1061,4
incentive scheme,scheme,1017,4
incentive scheme,scheme,1069,4
incentive scheme,scheme,1094,4
incentive scheme,scheme,1073,5
incentive scheme,incentive,1094,5
incentive scheme,incentive,1017,4
office romance,romance,1025,4
office romance,romance,1021,4
office romance,romance,1045,5
office romance,romance,1094,5
office romance,romance,1009,4
office romance,romance,1017,4
office romance,romance,1092,1
office romance,romance,1075,4
office romance,romance,1035,0
office romance,romance,1073,5
office romance,romance,1061,4
office romance,romance,1013,2
office romance,romance,1062,5
office romance,romance,1069,5
office romance,romance,1040,5
office romance,office,1061,4
office romance,office,1025,3
office romance,office,1045,5
office romance,office,1094,5
office romance,office,1073,5
office romance,office,1040,4
office romance,office,1062,5
office romance,office,1069,4
office romance,office,1092,1
office romance,office,1075,5
office romance,office,1021,4
office romance,office,1035,3
office romance,office,1017,1
office romance,office,1013,4
office romance,office,1009,1
pension scheme,pension,1094,5
pension scheme,pension,1017,4
pension scheme,scheme,1061,4
pension scheme,pension,1092,4
pension scheme,pension,1061,4
pension scheme,pension,1073,5
pension scheme,scheme,1035,2
pension scheme,pension,1035,4
pension scheme,pension,1075,3
pension scheme,scheme,1094,4
pension scheme,scheme,1069,3
pension scheme,scheme,1075,4
pension scheme,scheme,1092,4
pension scheme,scheme,1073,5
pension scheme,scheme,1009,1
pension scheme,scheme,1017,4
pension scheme,scheme,1025,5
pension scheme,scheme,1045,5
pension scheme,scheme,1040,4
pension scheme,scheme,1062,5
pension scheme,scheme,1013,1
pension scheme,scheme,1021,1
pension scheme,pension,1045,5
pension scheme,pension,1025,5
pension scheme,pension,1021,4
pension scheme,pension,1062,5
pension scheme,pension,1013,5
pension scheme,pension,1040,5
pension scheme,pension,1009,3
pension scheme,pension,1069,5
privacy protection,protection,1013,1
privacy protection,protection,1061,4
privacy protection,protection,1069,3
privacy protection,privacy,1017,4
privacy protection,protection,1094,5
privacy protection,protection,1073,5
privacy protection,protection,1035,3
privacy protection,privacy,1025,5
privacy protection,privacy,1013,5
privacy protection,privacy,1061,4
privacy protection,protection,1009,5
privacy protection,privacy,1009,0
privacy protection,protection,1025,3
privacy protection,protection,1045,5
privacy protection,privacy,1075,5
privacy protection,protection,1021,4
privacy protection,protection,1062,5
privacy protection,privacy,1092,5
privacy protection,privacy,1040,5
privacy protection,privacy,1062,5
privacy protection,protection,1017,4
privacy protection,privacy,1035,4
privacy protection,protection,1040,5
privacy protection,privacy,1021,4
privacy protection,privacy,1073,5
privacy protection,privacy,1094,5
privacy protection,privacy,1069,4
privacy protection,privacy,1045,5
privacy protection,protection,1075,5
privacy protection,protection,1092,5
prom queen,prom,1035,4
prom queen,prom,1009,1
prom queen,prom,1017,5
prom queen,queen,1040,3
prom queen,prom,1062,5
prom queen,prom,1069,3
prom queen,prom,1061,4
prom queen,prom,1025,5
prom queen,prom,1092,1
prom queen,queen,1073,1
prom queen,prom,1075,5
prom queen,prom,1073,5
prom queen,prom,1021,1
prom queen,prom,1045,5
prom queen,prom,1013,4
prom queen,queen,1025,5
prom queen,queen,1035,0
prom queen,prom,1040,5
prom queen,queen,1075,2
prom queen,queen,1017,1
prom queen,queen,1021,3
prom queen,queen,1062,4
prom queen,queen,1069,0
prom queen,prom,1094,5
prom queen,queen,1092,1
prom queen,queen,1094,5
prom queen,queen,1009,1
prom queen,queen,1045,3
prom queen,queen,1061,0
prom queen,queen,1013,1
pyramid scheme,pyramid,1075,0
pyramid scheme,pyramid,1025,3
pyramid scheme,scheme,1062,5
pyramid scheme,pyramid,1017,1
pyramid scheme,pyramid,1061,0
pyramid scheme,pyramid,1021,4
pyramid scheme,scheme,1013,4
pyramid scheme,scheme,1040,4
pyramid scheme,pyramid,1062,5
pyramid scheme,pyramid,1092,5
pyramid scheme,pyramid,1013,1
pyramid scheme,pyramid,1073,1
pyramid scheme,scheme,1021,1
pyramid scheme,pyramid,1009,0
pyramid scheme,pyramid,1069,0
pyramid scheme,pyramid,1094,4
pyramid scheme,scheme,1092,5
pyramid scheme,scheme,1017,4
pyramid scheme,scheme,1009,2
pyramid scheme,scheme,1069,2
pyramid scheme,scheme,1035,0
pyramid scheme,pyramid,1045,5
pyramid scheme,scheme,1061,0
pyramid scheme,scheme,1075,4
pyramid scheme,scheme,1094,4
pyramid scheme,scheme,1025,5
pyramid scheme,scheme,1045,5
pyramid scheme,pyramid,1040,3
pyramid scheme,pyramid,1035,3
pyramid scheme,scheme,1073,5
service quality,service,1075,5
service quality,service,1035,4
service quality,service,1094,5
service quality,service,1013,4
service quality,service,1092,4
service quality,service,1045,5
service quality,service,1040,5
service quality,service,1069,5
service quality,service,1073,5
service quality,quality,1069,4
service quality,service,1062,5
service quality,quality,1035,4
service quality,quality,1092,4
service quality,quality,1061,4
service quality,quality,1021,4
service quality,quality,1013,1
service quality,quality,1094,5
service quality,quality,1017,4
service quality,service,1009,4
service quality,quality,1025,4
service quality,quality,1062,5
service quality,service,1025,5
service quality,service,1017,4
service quality,quality,1075,4
service quality,service,1021,4
service quality,quality,1040,5
service quality,quality,1073,5
service quality,service,1061,5
service quality,quality,1045,5
service quality,quality,1009,2
summer romance,summer,1035,2
summer romance,summer,1021,4
summer romance,summer,1017,1
summer romance,summer,1009,1
summer romance,summer,1069,4
summer romance,summer,1040,4
summer romance,summer,1075,5
summer romance,summer,1092,1
summer romance,summer,1094,5
summer romance,summer,1013,4
summer romance,summer,1045,5
summer romance,romance,1025,4
summer romance,summer,1062,3
summer romance,romance,1069,1
summer romance,romance,1061,0
summer romance,romance,1092,1
summer romance,romance,1013,2
summer romance,romance,1073,5
summer romance,romance,1094,5
summer romance,romance,1045,5
summer romance,romance,1017,4
summer romance,romance,1035,0
summer romance,romance,1075,5
summer romance,romance,1009,4
summer romance,romance,1021,4
summer romance,romance,1062,5
summer romance,romance,1040,5
summer romance,summer,1025,4
summer romance,summer,1073,5
summer romance,summer,1061,0
water quality,water,1035,4
water quality,water,1073,5
water quality,water,1061,5
water quality,water,1025,5
water quality,water,1094,5
water quality,water,1045,5
water quality,water,1069,4
water quality,water,1092,4
water quality,water,1017,5
water quality,water,1009,5
water quality,water,1021,4
water quality,water,1075,5
water quality,water,1062,5
water quality,water,1013,5
water quality,quality,1061,5
water quality,quality,1021,4
water quality,quality,1062,5
water quality,quality,1094,5
water quality,quality,1013,1
water quality,quality,1025,5
water quality,quality,1040,4
water quality,quality,1073,5
water quality,quality,1009,1
water quality,quality,1075,4
water quality,quality,1092,4
water quality,quality,1069,5
water quality,quality,1035,3
water quality,quality,1017,5
water quality,quality,1045,5
water quality,water,1040,5
