token	0	1	2	3	mean	std	category	conccat	VQA	batch
brain	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9903408288955688	3
tea	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9799383282661438	3
library	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9908855557441713	3
horror fan	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	AC	0.9810143113136292	4
shoe box	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	compound	CC	0.8478596806526184	4
bike helmet	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	compound	CC	0.99446040391922	4
letter	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.8933351635932922	4
child	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9909461140632628	5
war movie	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9851566553115844	5
heart	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9633309841156006	5
bus station	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9711260795593262	5
sewing	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9937265515327454	5
wine dinner	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.971125066280365	6
street food	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9832826852798462	6
tea service	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CA	0.9822041988372804	6
hockey game	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9860587120056152	6
lunch	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9563044905662536	6
prom	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9897328019142152	7
word processing	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CA	0.9811334013938904	7
recording equipment	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9919636845588684	7
emergency closure	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	compound	AA	0.9588693976402284	8
carnival queen	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9744497537612916	8
ticket barrier	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9311915040016174	8
field	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9822149276733398	8
boat	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9929143190383912	9
summer romance	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CA	0.9727777242660522	9
sewing machine	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9903415441513062	9
corn dog	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9230425357818604	10
baby shoe	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9909461140632628	10
potato	4.0	4.0	3.0		3.6666666666666665	0.5773502691896258	modifier	C	0.9842551350593568	11
library card	3.0	4.0	4.0		3.6666666666666665	0.5773502691896258	compound	CC	0.9612191319465636	11
arcade	4.0	3.0	4.0		3.6666666666666665	0.5773502691896258	modifier	C	0.993338406085968	11
gym	4.0	3.0	3.0	4.0	3.5	0.5773502691896257	modifier	C	0.9897373914718628	1
space	4.0	3.0	3.0	4.0	3.5	0.5773502691896257	modifier	C	0.9851529002189636	1
emergency surgery	4.0	3.0	4.0	3.0	3.5	0.5773502691896257	compound	AC	0.9347964525222778	1
emergency equipment	3.0	3.0	4.0	4.0	3.5	0.5773502691896257	compound	AC	0.9883992075920104	1
studio album	4.0	4.0	3.0	3.0	3.5	0.5773502691896257	compound	CC	0.9588766694068908	1
ballet	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	modifier	C	0.9909433722496032	0
radio	2.0	4.0	4.0		3.3333333333333335	1.1547005383792515	modifier	C	0.975879728794098	0
ice	2.0	4.0	4.0		3.3333333333333335	1.1547005383792515	modifier	C	0.9633329510688782	2
macro photography	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	compound	AC	0.9876481294631958	2
art critic	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	compound	CC	0.8876814842224121	5
ear protection	2.0	4.0	4.0		3.3333333333333335	1.1547005383792515	compound	CA	0.9786229729652404	5
construction paper	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	compound	CC	0.9230386018753052	7
food service	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	compound	CA	0.9884070754051208	8
safety shoe	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	compound	AC	0.9038625955581664	9
wine	4.0	2.0	4.0		3.3333333333333335	1.1547005383792515	modifier	C	0.9876850843429564	9
family day	4.0	4.0	2.0		3.3333333333333335	1.1547005383792515	compound	CC	0.8816196322441101	10
country music	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9612180590629578	0
lunch box	3.0	4.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9417073130607604	2
gala dinner	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9744513034820556	2
card game	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9914907813072203	2
food	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	headmod	C	0.9884069561958312	2
romance	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	headmod	A	0.9868338704109192	3
cup	3.0	4.0	3.0		3.3333333333333335	0.5773502691896258	modifier	C	0.9612202048301696	3
tree surgery	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9693408012390136	3
street party	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9449307918548584	5
food processing	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CA	0.9821885228157043	5
music fan	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9842545986175536	5
family romance	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CA	0.9675647020339966	6
gala	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	modifier	C	0.9727877378463744	6
service dog	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	AC	0.5653444528579712	6
convenience food	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	AC	0.9727662205696106	6
hockey fan	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.7287623882293701	7
laboratory equipment	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9908420443534852	8
fruit cake	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9537389278411864	8
party	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	headmod	C	0.9897364974021912	8
road	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	modifier	C	0.9727885723114014	8
game day	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9950974583625792	9
field trip	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9914282560348512	10
strategy game	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	AC	0.9897361993789672	10
chamber music	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CC	0.9091670513153076	11
gambling	3.0	3.0	4.0		3.3333333333333335	0.5773502691896258	modifier	C	0.9954003095626832	11
hair loss	4.0	3.0	3.0		3.3333333333333335	0.5773502691896258	compound	CA	0.9230310916900636	11
road trip	3.0	4.0	3.0	3.0	3.25	0.5	compound	CC	0.97588050365448	1
peace conference	3.0	4.0	3.0	3.0	3.25	0.5	compound	AC	0.89333176612854	1
service area	3.0	3.0	4.0	3.0	3.25	0.5	compound	AC	0.9588747024536132	1
boat shoe	0.0	4.0	4.0	4.0	3.0	2.0	compound	CC	0.9860585927963256	1
ceiling fan	4.0	1.0	4.0		3.0	1.7320508075688772	compound	CC	0.9786241054534912	0
bus	4.0	4.0	1.0		3.0	1.7320508075688772	modifier	C	0.394676148891449	4
image	1.0	4.0	4.0		3.0	1.7320508075688772	modifier	C	0.9588764905929564	5
brain surgery	4.0	1.0	4.0		3.0	1.7320508075688772	compound	CC	0.9773001670837402	6
service quality	4.0	1.0	4.0		3.0	1.7320508075688772	compound	AA	0.9347989559173584	6
identity paper	1.0	4.0	4.0		3.0	1.7320508075688772	compound	AC	0.9230418801307678	8
boat trip	4.0	1.0	4.0		3.0	1.7320508075688772	compound	CC	0.9884087443351746	9
tree	2.0	2.0	4.0	4.0	3.0	1.1547005383792515	modifier	C	0.9449328780174256	1
letter box	2.0	4.0	3.0		3.0	1.0	compound	CC	0.961219608783722	0
emergency service	2.0	3.0	4.0		3.0	1.0	compound	AA	0.9786219596862792	0
service station	2.0	3.0	4.0		3.0	1.0	compound	AC	0.9811354279518129	0
entry barrier	2.0	3.0	4.0		3.0	1.0	compound	CC	0.965453326702118	3
fruit	4.0	2.0	3.0		3.0	1.0	modifier	C	0.9876848459243774	3
factory	2.0	4.0	3.0		3.0	1.0	modifier	C	0.9897367358207704	4
culture	4.0	3.0	2.0		3.0	1.0	modifier	A	0.9562910199165344	4
street photography	4.0	3.0	2.0		3.0	1.0	compound	CC	0.98972487449646	4
summer	4.0	2.0	3.0		3.0	1.0	modifier	C	0.9449329376220704	4
tool	2.0	4.0	3.0		3.0	1.0	modifier	C	0.9924596548080444	5
water quality	3.0	2.0	4.0		3.0	1.0	compound	CA	0.898535430431366	6
equipment	4.0	2.0	3.0		3.0	1.0	head	C	0.9758795499801636	6
bank	4.0	2.0	3.0		3.0	1.0	modifier	C	0.9271085858345032	6
glove box	4.0	3.0	2.0		3.0	1.0	compound	CC	0.9271081686019896	7
ticket machine	4.0	3.0	2.0		3.0	1.0	compound	CC	0.931191623210907	7
corn	4.0	2.0	3.0		3.0	1.0	modifier	C	0.3002535998821258	7
gangster	4.0	3.0	2.0		3.0	1.0	modifier	C	0.7287626266479492	7
horse shoe	4.0	2.0	3.0		3.0	1.0	compound	CC	0.7063380479812622	8
eye	2.0	3.0	4.0		3.0	1.0	modifier	C	0.9897375702857972	8
tool box	2.0	3.0	4.0		3.0	1.0	compound	CC	0.9712457656860352	9
sheep	3.0	2.0	4.0		3.0	1.0	modifier	C	0.9940961003303528	9
cup cake	2.0	3.0	4.0		3.0	1.0	compound	CC	0.9903408288955688	9
food photography	4.0	2.0	3.0		3.0	1.0	compound	CC	0.9537331461906432	9
school trip	4.0	2.0	3.0		3.0	1.0	compound	CC	0.9758790731430054	9
game	4.0	2.0	3.0		3.0	1.0	headmod	C	0.9635695815086364	10
gift card	3.0	2.0	4.0		3.0	1.0	compound	CC	0.738792896270752	10
factory closure	3.0	3.0	3.0		3.0	0.0	compound	CA	0.7287600040435791	0
conservation	3.0	3.0	3.0		3.0	0.0	modifier	A	0.9348316192626952	4
conference	3.0	3.0	3.0		3.0	0.0	head	C	0.9675753116607666	6
box	3.0	3.0	3.0		3.0	0.0	headmod	C	0.967577576637268	8
spirit photography	3.0	3.0	3.0		3.0	0.0	compound	AC	0.9348267912864684	10
consumer protection	3.0	2.0	3.0	3.0	2.75	0.5	compound	CA	0.9140411019325256	1
rice paper	3.0	3.0	3.0	2.0	2.75	0.5	compound	CC	0.3537855744361877	1
portrait	0.0	4.0	4.0		2.6666666666666665	2.3094010767585034	modifier	C	0.9884066581726074	7
tea party	4.0	4.0	0.0		2.6666666666666665	2.3094010767585034	compound	CC	0.8478553295135498	8
fantasy romance	3.0	1.0	4.0		2.6666666666666665	1.5275252316519465	compound	AA	0.6381222009658813	9
folk	2.0	2.0	4.0		2.6666666666666665	1.1547005383792515	modifier	C	0.9744505882263184	2
hockey	2.0	4.0	2.0		2.6666666666666665	1.1547005383792515	modifier	C	0.9612181186676024	3
farewell party	4.0	2.0	2.0		2.6666666666666665	1.1547005383792515	compound	AC	0.6609574556350708	6
food quality	2.0	2.0	4.0		2.6666666666666665	1.1547005383792515	compound	CA	0.950934648513794	11
brain food	3.0	3.0	2.0		2.6666666666666665	0.5773502691896258	compound	CC	0.9868355393409728	0
tennis shoe	3.0	3.0	2.0		2.6666666666666665	0.5773502691896258	compound	CC	0.9230424165725708	0
pain	2.0	3.0	3.0		2.6666666666666665	0.5773502691896258	modifier	C	0.972771942615509	3
tennis	3.0	2.0	3.0		2.6666666666666665	0.5773502691896258	modifier	C	0.9937310814857484	7
selection box	2.0	3.0	3.0		2.6666666666666665	0.5773502691896258	compound	AC	0.961219608783722	9
romance movie	2.0	3.0	3.0		2.6666666666666665	0.5773502691896258	compound	AC	0.9876247048377992	10
language barrier	2.0	3.0	3.0		2.6666666666666665	0.5773502691896258	compound	AC	0.8066079020500183	11
hen party	3.0	3.0	2.0		2.6666666666666665	0.5773502691896258	compound	CC	0.9140703082084656	11
soul food	2.0	3.0	3.0		2.6666666666666665	0.5773502691896258	compound	AC	0.9786182045936584	11
gangster movie	3.0	1.0	3.0	3.0	2.5	1.0	compound	CC	0.9773104190826416	1
macro	0.0	3.0	4.0		2.3333333333333335	2.081665999466133	modifier	A	0.9832876324653624	4
office romance	4.0	3.0	0.0		2.3333333333333335	2.081665999466133	compound	CA	0.8544621467590332	4
image quality	4.0	0.0	3.0		2.3333333333333335	2.081665999466133	compound	CA	0.5787540078163147	9
hill	1.0	4.0	2.0		2.3333333333333335	1.5275252316519468	modifier	C	0.7387940883636475	2
family	4.0	1.0	2.0		2.3333333333333335	1.5275252316519468	modifier	C	0.9950861930847168	3
steel	1.0	4.0	2.0		2.3333333333333335	1.5275252316519468	modifier	C	0.9588759541511536	5
consumer	4.0	1.0	2.0		2.3333333333333335	1.5275252316519468	modifier	C	0.9897364974021912	6
room service	4.0	1.0	2.0		2.3333333333333335	1.5275252316519468	compound	CA	0.977305829524994	7
horror movie	1.0	2.0	4.0		2.3333333333333335	1.5275252316519465	compound	AC	0.991429090499878	2
case conference	2.0	1.0	4.0		2.3333333333333335	1.5275252316519465	compound	CC	0.7795603275299072	2
pension scheme	2.0	1.0	4.0		2.3333333333333335	1.5275252316519465	compound	CA	0.8545001745223999	4
elimination	4.0	2.0	1.0		2.3333333333333335	1.5275252316519465	modifier	A	0.5187918543815613	4
sheet	2.0	1.0	4.0		2.3333333333333335	1.5275252316519465	modifier	C	0.8933348655700684	8
web	3.0	3.0	1.0		2.3333333333333335	1.1547005383792515	modifier	C	0.9038636684417723	0
novelty cake	3.0	1.0	3.0		2.3333333333333335	1.1547005383792515	compound	AC	0.6257814168930054	3
music critic	3.0	1.0	3.0		2.3333333333333335	1.1547005383792515	compound	CC	0.8872485756874084	4
memory box	3.0	3.0	1.0		2.3333333333333335	1.1547005383792515	compound	AC	0.8876808881759644	8
carnival	3.0	1.0	3.0		2.3333333333333335	1.1547005383792515	modifier	C	0.9933040738105774	9
ballot paper	1.0	3.0	3.0		2.3333333333333335	1.1547005383792515	compound	CC	0.7489575147628784	10
paper	1.0	3.0	3.0		2.3333333333333335	1.1547005383792515	headmod	C	0.8985844254493713	10
consultation paper	1.0	3.0	3.0		2.3333333333333335	1.1547005383792515	compound	AC	0.5653464794158936	11
folk music	3.0	2.0	2.0		2.3333333333333335	0.5773502691896258	compound	CC	0.8876791000366211	0
coffee machine	2.0	2.0	3.0		2.3333333333333335	0.5773502691896258	compound	CC	0.695389449596405	2
quality	3.0	2.0	2.0		2.3333333333333335	0.5773502691896258	head	A	0.9140724539756776	4
ticket	2.0	2.0	3.0		2.3333333333333335	0.5773502691896258	modifier	C	0.7387942671775818	6
photography	3.0	2.0	2.0		2.3333333333333335	0.5773502691896258	head	C	0.9384920597076416	7
parking area	2.0	2.0	3.0		2.3333333333333335	0.5773502691896258	compound	CC	0.7980473637580872	9
memory card	2.0	3.0	2.0		2.3333333333333335	0.5773502691896258	compound	AC	0.9612200260162354	10
farewell dinner	3.0	2.0	2.0		2.3333333333333335	0.5773502691896258	compound	AC	0.8816316723823547	11
guilt	2.0	4.0	0.0		2.0	2.0	modifier	A	0.9348275661468506	0
shoe	0.0	2.0	4.0		2.0	2.0	headmod	C	0.965453565120697	2
toilet	4.0	2.0	0.0		2.0	2.0	modifier	C	0.9811367392539978	10
emotion	1.0	4.0	1.0		2.0	1.7320508075688772	modifier	A	0.9348264932632446	3
way	0.0	3.0	3.0		2.0	1.7320508075688772	modifier	A	0.9758803248405457	3
parking	1.0	1.0	4.0		2.0	1.7320508075688772	modifier	C	0.9537325501441956	3
portrait photography	3.0	0.0	3.0		2.0	1.7320508075688772	compound	CC	0.9933221936225892	6
child protection	3.0	3.0	0.0		2.0	1.7320508075688772	compound	CA	0.9773021340370178	8
family movie	0.0	3.0	3.0		2.0	1.7320508075688772	compound	CC	0.893335223197937	10
plea agreement	0.0	3.0	3.0		2.0	1.7320508075688772	compound	AA	0.4950347542762756	10
hair	1.0	1.0	2.0	4.0	2.0	1.4142135623730951	modifier	C	0.9185453653335572	1
movie	3.0	2.0	1.0		2.0	1.0	headmod	C	0.6953904032707214	0
ball game	2.0	1.0	3.0		2.0	1.0	compound	CC	0.953740119934082	2
food critic	3.0	1.0	2.0		2.0	1.0	compound	CC	0.3002541661262512	4
paper loss	1.0	2.0	3.0		2.0	1.0	compound	CA	0.8478080034255981	5
ego	1.0	2.0	3.0		2.0	1.0	modifier	A	0.8747631311416626	6
material processing	3.0	2.0	1.0		2.0	1.0	compound	CA	0.8620504140853882	7
concept	1.0	3.0	2.0		2.0	1.0	modifier	A	0.9185460209846495	9
horror game	2.0	1.0	3.0		2.0	1.0	compound	AC	0.9612204432487488	9
fan	2.0	1.0	3.0		2.0	1.0	head	C	0.988409161567688	9
agreement	1.0	2.0	3.0		2.0	1.0	head	A	0.971118152141571	10
licensing agreement	1.0	2.0	3.0		2.0	1.0	compound	AA	0.8153778910636902	10
school	3.0	1.0	2.0		2.0	1.0	modifier	C	0.93849515914917	11
material	1.0	2.0	2.0	3.0	2.0	0.816496580927726	modifier	C	0.9271081686019896	1
consultation	2.0	2.0	2.0		2.0	0.0	modifier	A	0.9675736427307128	3
spirit	2.0	2.0	2.0		2.0	0.0	modifier	A	0.8396155834197998	7
station	2.0	2.0	2.0		2.0	0.0	head	C	0.728762686252594	8
plea	2.0	2.0	2.0		2.0	0.0	modifier	A	0.531094491481781	8
guilt trip	2.0	2.0	2.0		2.0	0.0	compound	AC	0.759272575378418	11
party conference	0.0	4.0	2.0	1.0	1.75	1.707825127659933	compound	CC	0.8478554487228394	1
capital equipment	1.0	1.0	4.0	1.0	1.75	1.5	compound	CC	0.9811341762542723	1
country	3.0	0.0	2.0	2.0	1.75	1.2583057392117916	modifier	C	0.8396190404891968	1
elimination game	2.0	1.0	2.0	2.0	1.75	0.5	compound	AC	0.8620507717132568	1
soul	0.0	4.0	1.0		1.6666666666666667	2.0816659994661326	modifier	A	0.8322668075561523	3
hill station	4.0	0.0	1.0		1.6666666666666667	2.0816659994661326	compound	CC	0.9744516015052797	6
language	3.0	2.0	0.0		1.6666666666666667	1.5275252316519468	modifier	A	0.9897369742393494	0
gambling loss	2.0	3.0	0.0		1.6666666666666667	1.5275252316519468	compound	CA	0.6953734159469604	0
health service	2.0	0.0	3.0		1.6666666666666667	1.5275252316519468	compound	AA	0.9654518961906432	2
capital	0.0	2.0	3.0		1.6666666666666667	1.5275252316519468	modifier	C	0.9842501282691956	3
farewell	2.0	0.0	3.0		1.6666666666666667	1.5275252316519468	modifier	A	0.9481663107872008	5
rice	2.0	3.0	0.0		1.6666666666666667	1.5275252316519468	modifier	C	0.5653470754623413	8
potato cake	2.0	3.0	0.0		1.6666666666666667	1.5275252316519468	compound	CC	0.8756281137466431	8
sheep dog	2.0	3.0	0.0		1.6666666666666667	1.5275252316519468	compound	CC	0.8066664934158325	11
tenancy agreement	0.0	3.0	2.0		1.6666666666666667	1.5275252316519465	compound	AA	0.4835661351680755	5
ceiling	3.0	0.0	2.0		1.6666666666666667	1.5275252316519465	modifier	C	0.9897371530532836	9
assessment	3.0	0.0	2.0		1.6666666666666667	1.5275252316519465	modifier	A	0.7980464696884155	11
soul music	1.0	1.0	3.0		1.6666666666666667	1.1547005383792517	compound	AC	0.9799390435218812	2
peace	1.0	1.0	3.0		1.6666666666666667	1.1547005383792517	modifier	A	0.9384920597076416	2
health protection	1.0	3.0	1.0		1.6666666666666667	1.1547005383792517	compound	AA	0.9270893931388856	6
blood	3.0	1.0	1.0		1.6666666666666667	1.1547005383792517	modifier	C	0.9140499830245972	6
drama queen	3.0	1.0	1.0		1.6666666666666667	1.1547005383792517	compound	AC	0.6846069097518921	7
sausage	3.0	1.0	1.0		1.6666666666666667	1.1547005383792517	modifier	C	0.9271079301834106	7
music album	1.0	3.0	1.0		1.6666666666666667	1.1547005383792517	compound	CC	0.9481676816940308	8
entry	3.0	1.0	1.0		1.6666666666666667	1.1547005383792517	modifier	C	0.9185465574264526	9
mood music	2.0	2.0	1.0		1.6666666666666667	0.5773502691896257	compound	AC	0.4835672080516815	0
drama critic	1.0	2.0	2.0		1.6666666666666667	0.5773502691896257	compound	AC	0.9612192511558532	3
road movie	2.0	2.0	1.0		1.6666666666666667	0.5773502691896257	compound	CC	0.903864085674286	5
mood	1.0	2.0	2.0		1.6666666666666667	0.5773502691896257	modifier	A	0.9384918212890624	5
emergency	2.0	1.0	2.0		1.6666666666666667	0.5773502691896257	modifier	A	0.779560923576355	6
concept album	1.0	2.0	2.0		1.6666666666666667	0.5773502691896257	compound	AC	0.8620529770851135	8
suggestion	2.0	1.0	2.0		1.6666666666666667	0.5773502691896257	modifier	A	0.9417065382003784	8
confidentiality agreement	2.0	1.0	2.0		1.6666666666666667	0.5773502691896257	compound	AA	0.8872470259666443	8
drama	2.0	1.0	2.0		1.6666666666666667	0.5773502691896257	modifier	A	0.9842512011528016	9
conservation area	1.0	2.0	2.0		1.6666666666666667	0.5773502691896257	compound	AC	0.56534743309021	9
incentive scheme	2.0	2.0	1.0		1.6666666666666667	0.5773502691896257	compound	AA	0.8478580713272095	10
independence	2.0	1.0	2.0		1.6666666666666667	0.5773502691896257	modifier	A	0.9449137449264526	11
greeting	3.0	0.0	2.0	1.0	1.5	1.2909944487358056	modifier	C	0.8688130974769592	1
language area	0.0	2.0	2.0	2.0	1.5	1.0	compound	AC	0.8876614570617676	1
water	1.0	1.0	1.0	3.0	1.5	1.0	modifier	C	0.9481666684150696	1
capital loss	1.0	3.0	0.0		1.3333333333333333	1.5275252316519468	compound	CA	0.7697097659111023	0
data quality	1.0	0.0	3.0		1.3333333333333333	1.5275252316519468	compound	CA	0.4056171774864197	2
loss	1.0	3.0	0.0		1.3333333333333333	1.5275252316519468	head	A	0.9271060824394226	3
