compound,const,mean
case conference,conference,5.0
party conference,party,4.6
party conference,conference,5.0
peace conference,peace,4.8
peace conference,conference,5.0
web conference,web,4.9
web conference,conference,5.0
art critic,art,4.8
art critic,critic,5.0
culture critic,culture,4.7
culture critic,critic,5.0
drama critic,drama,4.8
drama critic,critic,5.0
food critic,food,4.9
food critic,critic,5.0
movie critic,movie,4.9
movie critic,critic,5.0
music critic,music,4.9
music critic,critic,5.0
assessment day,assessment,4.7
assessment day,day,4.8
family day,family,4.8
family day,day,4.9
field day,field,1.2
field day,day,2.0
game day,game,4.8
game day,day,4.9
independence day,independence,4.9
independence day,day,5.0
wedding day,wedding,4.9
wedding day,day,5.0
dog dinner,dog,0.3
dog dinner,dinner,2.0
family dinner,family,4.8
family dinner,dinner,5.0
farewell dinner,farewell,4.8
farewell dinner,dinner,5.0
gala dinner,gala,4.7
gala dinner,dinner,5.0
school dinner,school,4.8
school dinner,dinner,4.9
wine dinner,wine,4.7
wine dinner,dinner,5.0
corn dog,corn,0.7
corn dog,dog,0.5
family dog,family,4.7
family dog,dog,5.0
puppy dog,puppy,4.9
puppy dog,dog,5.0
sausage dog,sausage,2.8
sausage dog,dog,4.5
service dog,service,4.8
service dog,dog,5.0
sheep dog,sheep,4.8
sheep dog,dog,5.0
capital equipment,capital,3.8
capital equipment,equipment,5.0
emergency equipment,emergency,4.7
emergency equipment,equipment,5.0
gym equipment,gym,4.9
gym equipment,equipment,5.0
laboratory equipment,laboratory,4.9
laboratory equipment,equipment,5.0
recording equipment,recording,4.8
recording equipment,equipment,5.0
safety equipment,safety,4.9
safety equipment,equipment,5.0
ceiling fan,ceiling,4.9
ceiling fan,fan,5.0
hockey fan,hockey,4.8
hockey fan,fan,5.0
horror fan,horror,4.7
horror fan,fan,5.0
music fan,music,4.9
music fan,fan,5.0
brain food,brain,2.0
brain food,food,4.8
convenience food,convenience,4.6
convenience food,food,5.0
dog food,dog,4.9
dog food,food,5.0
health food,health,4.7
health food,food,5.0
soul food,soul,2.4
soul food,food,4.8
street food,street,4.8
street food,food,5.0
arcade game,arcade,4.8
arcade game,game,5.0
ball game,ball,4.8
ball game,game,5.0
card game,card,4.9
card game,game,5.0
elimination game,elimination,4.7
elimination game,game,5.0
hockey game,hockey,4.9
hockey game,game,5.0
horror game,horror,4.8
horror game,game,5.0
strategy game,strategy,4.9
strategy game,game,5.0
bike helmet,bike,4.9
bike helmet,helmet,5.0
safety helmet,safety,4.9
safety helmet,helmet,5.0
space helmet,space,4.8
space helmet,helmet,5.0
steel helmet,steel,4.9
steel helmet,helmet,5.0
blood loss,blood,4.9
blood loss,loss,5.0
capital loss,capital,4.8
capital loss,loss,5.0
gambling loss,gambling,4.9
gambling loss,loss,5.0
hair loss,hair,4.9
hair loss,loss,5.0
memory loss,memory,4.9
memory loss,loss,5.0
paper loss,paper,4.7
paper loss,loss,5.0
coffee machine,coffee,4.9
coffee machine,machine,5.0
hype machine,hype,2.0
hype machine,machine,3.7
propaganda machine,propaganda,4.6
propaganda machine,machine,4.8
rowing machine,rowing,4.9
rowing machine,machine,5.0
sewing machine,sewing,4.9
sewing machine,machine,5.0
ticket machine,ticket,4.9
ticket machine,machine,5.0
family movie,family,4.8
family movie,movie,5.0
gangster movie,gangster,4.9
gangster movie,movie,5.0
horror movie,horror,4.9
horror movie,movie,5.0
road movie,road,4.6
road movie,movie,5.0
romance movie,romance,4.9
romance movie,movie,5.0
war movie,war,4.9
war movie,movie,5.0
chamber music,chamber,4.8
chamber music,music,5.0
country music,country,4.9
country music,music,5.0
folk music,folk,4.9
folk music,music,5.0
mood music,mood,4.7
mood music,music,5.0
sheet music,sheet,4.9
sheet music,music,5.0
soul music,soul,4.7
soul music,music,5.0
ballot paper,ballot,4.9
ballot paper,paper,5.0
construction paper,construction,4.8
construction paper,paper,5.0
consultation paper,consultation,4.6
consultation paper,paper,4.8
identity paper,identity,4.0
identity paper,paper,4.5
rice paper,rice,4.9
rice paper,paper,5.0
toilet paper,toilet,4.9
toilet paper,paper,5.0
dinner party,dinner,4.8
dinner party,party,5.0
farewell party,farewell,4.9
farewell party,party,5.0
hen party,hen,1.0
hen party,party,4.0
ruling party,ruling,4.8
ruling party,party,5.0
street party,street,4.7
street party,party,5.0
tea party,tea,4.8
tea party,party,5.0
wedding party,wedding,4.9
wedding party,party,5.0
food photography,food,4.9
food photography,photography,5.0
macro photography,macro,4.9
macro photography,photography,5.0
portrait photography,portrait,4.9
portrait photography,photography,5.0
spirit photography,spirit,2.8
spirit photography,photography,4.9
street photography,street,4.8
street photography,photography,5.0
wedding photography,wedding,4.9
wedding photography,photography,5.0
emotion processing,emotion,4.7
emotion processing,processing,5.0
food processing,food,4.9
food processing,processing,5.0
image processing,image,4.9
image processing,processing,5.0
material processing,material,4.9
material processing,processing,5.0
word processing,word,4.9
word processing,processing,5.0
consumer protection,consumer,4.9
consumer protection,protection,5.0
child protection,child,4.9
child protection,protection,5.0
ear protection,ear,4.8
ear protection,protection,5.0
health protection,health,4.9
health protection,protection,5.0
privacy protection,privacy,4.9
privacy protection,protection,5.0
data quality,data,4.9
data quality,quality,5.0
food quality,food,4.9
food quality,quality,5.0
image quality,image,4.9
image quality,quality,5.0
service quality,service,4.8
service quality,quality,5.0
water quality,water,4.8
water quality,quality,5.0
drama queen,drama,3.0
drama queen,queen,2.5
carnival queen,carnival,2.7
carnival queen,queen,2.8
ice queen,ice,2.2
ice queen,queen,2.5
prom queen,prom,3.0
prom queen,queen,2.9
family romance,family,4.8
family romance,romance,5.0
fantasy romance,fantasy,4.7
fantasy romance,romance,5.0
office romance,office,4.7
office romance,romance,5.0
summer romance,summer,4.8
summer romance,romance,5.0
box scheme,box,2.5
box scheme,scheme,4.5
fraud scheme,fraud,4.9
fraud scheme,scheme,5.0
incentive scheme,incentive,4.7
incentive scheme,scheme,5.0
pension scheme,pension,4.8
pension scheme,scheme,5.0
pyramid scheme,pyramid,4.4
pyramid scheme,scheme,5.0
emergency service,emergency,4.7
emergency service,service,5.0
food service,food,4.9
food service,service,5.0
health service,health,4.9
health service,service,5.0
room service,room,4.7
room service,service,5.0
tea service,tea,4.8
tea service,service,5.0
baby shoe,baby,4.9
baby shoe,shoe,5.0
ballet shoe,ballet,4.9
ballet shoe,shoe,5.0
boat shoe,boat,4.8
boat shoe,shoe,5.0
horse shoe,horse,2.3
horse shoe,shoe,4.9
safety shoe,safety,4.9
safety shoe,shoe,5.0
tennis shoe,tennis,4.9
tennis shoe,shoe,5.0
bus station,bus,4.9
bus station,station,5.0
hill station,hill,4.8
hill station,station,5.0
radio station,radio,4.9
radio station,station,5.0
service station,service,4.9
service station,station,5.0
space station,space,4.8
space station,station,5.0
way station,way,4.5
way station,station,4.8
brain surgery,brain,2.2
brain surgery,surgery,5.0
emergency surgery,emergency,4.8
emergency surgery,surgery,5.0
eye surgery,eye,4.7
eye surgery,surgery,5.0
heart surgery,heart,4.7
heart surgery,surgery,5.0
tree surgery,tree,4.8
tree surgery,surgery,5.0
boat trip,boat,4.8
boat trip,trip,5.0
ego trip,ego,2.5
ego trip,trip,4.2
field trip,field,4.7
field trip,trip,5.0
guilt trip,guilt,2.7
guilt trip,trip,4.1
road trip,road,4.8
road trip,trip,5.0
school trip,school,4.8
school trip,trip,5.0
